agent,agent_preference,num_connections,agent_connections,influence_status
54,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,26,"[99, 1, 43, 78, 49, 12, 86, 28, 81, 35, 72, 10, 30, 23, 45, 47, 100, 59, 17, 33, 34, 73, 90, 36, 61, 95]",False
55,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,12,"[77, 64, 90, 100, 78, 40, 75, 3, 5, 54, 35, 26]",False
56,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,5,"[9, 37, 94, 25, 85]",False
57,excellent exandle of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,6,"[70, 26, 32, 74, 92, 56]",False
58,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people,12,"[64, 40, 12, 5, 32, 61, 90, 33, 47, 85, 41, 96]",False
59,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated,13,"[92, 13, 54, 90, 40, 15, 10, 81, 51, 56, 28, 35, 97]",False
60,please wear a mask and bend over,16,"[34, 29, 96, 18, 27, 15, 45, 20, 71, 91, 32, 84, 70, 87, 62, 63]",False
61,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady,15,"[47, 16, 71, 13, 48, 45, 22, 69, 31, 75, 87, 27, 1, 56, 77]",False
62,i like wearing a mask because i can go out in public with a fat lip in and nobody knows,24,"[68, 76, 80, 1, 56, 90, 16, 42, 96, 60, 75, 61, 73, 50, 55, 81, 24, 94, 3, 95, 47, 99, 79, 11]",False
63,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask,10,"[47, 27, 87, 82, 75, 60, 70, 6, 88, 23]",False
64,really interesting in light of people s resistance to wear a mask both the mask and the shopping cart are measurements of empathy,19,"[26, 27, 20, 22, 98, 45, 83, 25, 56, 82, 79, 91, 21, 53, 46, 41, 57, 73, 92]",False
