agent,agent_preference,num_connections,agent_connections,influence_status
56,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,3,"[4, 76, 19]",False
57,I lose a mask at least four times a day. This whole thing is a scam.,4,"[40, 53, 83, 34]",False
58,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",5,"[24, 63, 84, 2, 4]",False
59,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",2,"[37, 79]",False
60,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,3,"[86, 73, 72]",False
61,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,20,"[99, 6, 60, 68, 52, 1, 51, 3, 28, 50, 35, 27, 95, 49, 22, 37, 66, 71, 78, 11]",False
62,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,11,"[39, 99, 37, 79, 3, 97, 14, 38, 19, 83, 87]",False
63,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,6,"[65, 74, 46, 33, 72, 85]",False
64,I lose a mask at least four times a day. This whole thing is a scam.,16,"[24, 36, 7, 11, 18, 20, 25, 6, 1, 98, 49, 31, 32, 35, 45, 37]",False
65,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",23,"[51, 14, 59, 88, 83, 63, 100, 49, 70, 85, 58, 33, 86, 23, 41, 90, 44, 47, 76, 20, 53, 94, 38]",False
66,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",15,"[20, 47, 68, 53, 88, 91, 78, 30, 83, 22, 92, 65, 57, 86, 60]",False
67,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,3,"[31, 76, 100]",False
68,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,8,"[97, 37, 53, 28, 55, 47, 30, 64]",False
69,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,20,"[9, 74, 25, 30, 68, 19, 67, 62, 61, 87, 21, 99, 6, 84, 40, 44, 72, 2, 73, 83]",False
70,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,24,"[28, 24, 75, 71, 18, 67, 68, 42, 8, 29, 100, 54, 35, 61, 33, 15, 48, 39, 5, 59, 93, 76, 14, 17]",False
71,I lose a mask at least four times a day. This whole thing is a scam.,5,"[20, 26, 92, 98, 27]",False
72,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",1,[40],False
73,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",5,"[15, 67, 54, 31, 71]",False
74,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,29,"[40, 70, 45, 49, 96, 56, 91, 15, 80, 31, 48, 16, 46, 73, 82, 93, 58, 76, 18, 53, 63, 33, 8, 64, 17, 32, 77, 42, 35]",False
75,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,6,"[38, 73, 40, 62, 15, 6]",False
76,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,4,"[32, 40, 29, 49]",False
77,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,6,"[13, 70, 34, 14, 100, 3]",False
78,I lose a mask at least four times a day. This whole thing is a scam.,12,"[4, 1, 18, 61, 80, 94, 91, 39, 82, 56, 79, 6]",False
