agent,agent_preference,num_connections,agent_connections,influence_status
50,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,26,"[54, 90, 3, 18, 52, 72, 10, 51, 91, 66, 13, 58, 5, 35, 17, 88, 40, 37, 19, 82, 84, 63, 42, 48, 94, 29]",False
51,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,2,"[56, 29]",False
52,how does the mask make his breath come out of the back of his head,28,"[98, 39, 91, 76, 58, 21, 43, 74, 24, 96, 69, 14, 18, 46, 33, 78, 54, 49, 16, 61, 64, 29, 7, 53, 15, 84, 31, 85]",False
53,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,18,"[47, 62, 66, 27, 43, 30, 83, 33, 39, 7, 8, 5, 76, 41, 19, 87, 77, 74]",False
54,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,14,"[78, 35, 6, 11, 74, 95, 53, 21, 15, 69, 92, 46, 45, 80]",False
55,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,24,"[65, 48, 59, 19, 80, 20, 25, 77, 46, 93, 27, 62, 84, 71, 11, 33, 86, 16, 85, 61, 78, 92, 88, 14]",False
56,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,4,"[21, 44, 54, 97]",False
57,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,11,"[54, 58, 61, 64, 3, 94, 4, 89, 15, 93, 38]",False
58,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,3,"[100, 80, 52]",False
59,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,13,"[68, 38, 63, 70, 4, 37, 91, 12, 87, 72, 21, 58, 88]",False
60,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,20,"[82, 31, 16, 55, 22, 43, 92, 32, 33, 65, 93, 40, 27, 71, 44, 72, 4, 86, 63, 15]",False
61,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,19,"[4, 8, 58, 72, 89, 65, 47, 5, 29, 81, 100, 55, 88, 3, 84, 10, 16, 21, 22]",False
62,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,1,[74],False
63,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,28,"[34, 10, 82, 57, 23, 8, 51, 96, 60, 43, 74, 99, 17, 1, 56, 3, 91, 39, 92, 30, 97, 14, 40, 37, 22, 71, 47, 50]",False
64,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,20,"[3, 74, 45, 79, 14, 13, 17, 39, 76, 80, 77, 99, 6, 59, 10, 36, 8, 49, 96, 32]",False
65,how does the mask make his breath come out of the back of his head,22,"[43, 63, 40, 1, 24, 52, 79, 2, 87, 33, 34, 89, 17, 41, 56, 14, 29, 71, 62, 53, 3, 85]",False
66,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,7,"[76, 53, 27, 5, 46, 6, 34]",False
67,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,2,"[100, 8]",False
68,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,16,"[11, 35, 46, 3, 25, 44, 7, 60, 14, 38, 69, 59, 89, 90, 39, 6]",False
69,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,2,"[18, 91]",False
70,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,19,"[92, 13, 50, 51, 89, 82, 75, 49, 22, 35, 33, 42, 95, 26, 76, 45, 21, 78, 38]",False
71,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,19,"[38, 81, 73, 66, 34, 55, 92, 24, 62, 37, 45, 61, 83, 47, 7, 3, 48, 97, 87]",False
72,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,16,"[70, 40, 82, 25, 22, 93, 88, 48, 95, 1, 60, 86, 87, 16, 84, 66]",False
73,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,22,"[27, 30, 66, 58, 32, 46, 28, 94, 14, 56, 62, 99, 82, 23, 98, 43, 5, 59, 22, 85, 74, 39]",False
74,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,10,"[36, 92, 60, 28, 10, 25, 69, 59, 98, 2]",False
75,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,11,"[76, 99, 26, 29, 95, 17, 27, 42, 54, 36, 81]",False
76,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,20,"[48, 26, 9, 63, 27, 79, 1, 13, 89, 11, 81, 77, 29, 10, 99, 91, 34, 83, 36, 31]",False
77,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,29,"[99, 63, 79, 84, 80, 56, 59, 37, 91, 90, 66, 14, 42, 85, 64, 73, 65, 1, 6, 93, 24, 43, 29, 92, 50, 96, 72, 89, 48]",False
78,how does the mask make his breath come out of the back of his head,25,"[63, 97, 58, 83, 42, 92, 15, 56, 38, 29, 37, 52, 9, 13, 5, 16, 19, 54, 2, 26, 40, 35, 8, 46, 94]",False
79,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,28,"[80, 35, 73, 93, 88, 65, 7, 92, 75, 20, 37, 10, 14, 5, 41, 55, 60, 33, 81, 91, 24, 66, 56, 61, 89, 48, 29, 99]",False
80,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,4,"[85, 31, 78, 100]",False
81,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,6,"[51, 7, 99, 82, 34, 27]",False
82,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,14,"[24, 18, 78, 50, 27, 35, 79, 10, 42, 5, 46, 4, 37, 28]",False
83,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,9,"[26, 56, 38, 68, 60, 66, 53, 17, 80]",False
84,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,8,"[48, 74, 69, 7, 16, 41, 87, 17]",False
85,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,24,"[57, 16, 61, 75, 89, 83, 7, 46, 90, 24, 97, 47, 37, 81, 3, 43, 45, 79, 33, 52, 62, 54, 15, 55]",False
86,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,1,[57],False
87,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,5,"[49, 69, 42, 30, 20]",False
88,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,4,"[11, 14, 87, 67]",False
89,yes the newest strain is soooooo contagious just bc they have a mask on their hands pics don t mean they re using it,17,"[20, 42, 96, 17, 75, 7, 55, 87, 59, 25, 91, 49, 6, 11, 56, 8, 72]",False
90,two tri county health dept board members from douglas county voted against the mask public health order and one did not vote due to affiliation to a school,12,"[26, 43, 72, 59, 39, 46, 94, 38, 93, 54, 78, 80]",False
91,how does the mask make his breath come out of the back of his head,28,"[82, 75, 66, 26, 27, 41, 72, 47, 69, 23, 58, 11, 18, 8, 83, 24, 67, 76, 22, 99, 28, 55, 52, 61, 21, 1, 37, 90]",False
92,i m not against vacks mandates cuz i don t think i ll catch the cough i already had it i m against them cuz they ruin the economy get people fired and people should be able to choose to wear a mask or get the jab if they want not by force,25,"[1, 75, 30, 17, 100, 85, 6, 35, 45, 64, 32, 73, 96, 5, 55, 13, 8, 50, 16, 98, 12, 91, 11, 33, 14]",False
93,i wear my mask when i m in public lawmaker who isn t wearing his mask in public says,10,"[74, 17, 38, 89, 32, 44, 6, 92, 84, 11]",False
94,says the woman that wears the mask to protect herself lmao well dear the gun works the mask doesn t,13,"[97, 58, 35, 26, 65, 75, 17, 9, 80, 69, 52, 60, 62]",False
95,if you wear a mask outside or in your car alone your gullible and submissive not traits you want to project,16,"[50, 100, 62, 1, 43, 29, 2, 99, 45, 54, 76, 81, 64, 31, 33, 14]",False
96,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,16,"[8, 94, 45, 11, 48, 6, 37, 21, 39, 54, 66, 68, 83, 55, 84, 91]",False
97,oh man you should come to georgia it s like people here think wearing a mask gives them covid there s so few,17,"[5, 49, 15, 30, 77, 58, 64, 12, 53, 46, 73, 31, 40, 44, 42, 17, 36]",False
98,see this is how crazy trump s made the united states of america if you want order in america president donald j trump must take off his mask and turn himself in oh and every day he doesn t people will die starting tonight i m a man of my word covid,13,"[6, 55, 68, 37, 95, 46, 75, 97, 34, 93, 42, 85, 19]",False
99,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,21,"[76, 21, 80, 98, 79, 28, 18, 51, 60, 47, 73, 77, 87, 4, 67, 33, 9, 86, 50, 89, 63]",False
100,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,10,"[78, 8, 74, 85, 83, 59, 14, 96, 45, 99]",False
101,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[58, 77, 97, 95, 9, 18, 35, 55, 11, 10, 2, 81, 53, 67, 50, 52, 34, 57, 48, 94, 96, 38, 74, 65, 83, 78, 22, 23, 33, 93]",True
